complaint_id,date,area,category,priority,status,days_to_resolve,complaint_text,resolved
CM-0020,2026-02-23,Demra,waste,low,unresolved,12,Blocked drain in Demra due to accumulated plastic waste.,0
CM-0021,2026-02-26,Uttara,road,low,unresolved,9,Drain cover is missing on a busy road in Uttara.,0
CM-0022,2026-02-18,Gulshan,traffic,low,unresolved,7,Unauthorized roadside parking worsening traffic flow in Gulshan.,0
CM-0023,2026-02-24,Demra,road,medium,unresolved,11,Large pothole near the main road in Demra causing bike accidents.,0
CM-0024,2026-03-22,Mirpur,road,medium,resolved,3,Street section in Mirpur is flooded after rain due to damaged road drainage.,0
CM-0025,2026-03-05,Farmgate,waste,low,unresolved,14,Illegal dumping spotted beside a residential lane in Farmgate.,0
CM-0026,2026-03-13,Gulshan,road,medium,resolved,4,Street section in Gulshan is flooded after rain due to damaged road drainage.,0
CM-0027,2026-02-21,Farmgate,water,low,unresolved,9,No municipal water available in part of Farmgate since last night.,0
CM-0028,2026-03-15,Mirpur,water,medium,resolved,3,Intermittent water supply disruption observed in Mirpur.,0
CM-0029,2026-04-03,Mirpur,water,high,resolved,2,No municipal water available in part of Mirpur since last night.,0
CM-0030,2026-02-23,Mirpur,traffic,medium,unresolved,7,Unauthorized roadside parking worsening traffic flow in Mirpur.,0
CM-0031,2026-03-14,Dhanmondi,traffic,low,unresolved,17,Frequent gridlock near bus stop reported in Dhanmondi.,0
CM-0032,2026-03-24,Uttara,waste,low,resolved,4,Garbage has not been collected for several days in Uttara.,0
CM-0033,2026-04-01,Uttara,traffic,medium,resolved,7,Signal light malfunction causing long queues in Uttara.,0
CM-0034,2026-02-16,Uttara,waste,low,resolved,3,Overflowing community bin in Uttara is causing foul smell.,0
CM-0035,2026-03-19,Mirpur,water,medium,resolved,2,Low water pressure reported in multiple households in Mirpur.,0
CM-0036,2026-04-03,Mohammadpur,road,medium,unresolved,16,Street section in Mohammadpur is flooded after rain due to damaged road drainage.,0
CM-0037,2026-02-10,Mirpur,road,high,resolved,6,Drain cover is missing on a busy road in Mirpur.,0
CM-0038,2026-04-02,Mirpur,road,high,unresolved,20,Large pothole near the main road in Mirpur causing bike accidents.,0
CM-0039,2026-02-24,Uttara,traffic,medium,unresolved,14,Severe traffic congestion at peak hour in Uttara intersection.,0
CM-0040,2026-02-27,Demra,road,low,unresolved,6,Broken pavement and uneven road surface reported in Demra.,0
CM-0041,2026-03-11,Mirpur,waste,medium,resolved,5,Blocked drain in Mirpur due to accumulated plastic waste.,0
CM-0042,2026-02-14,Mirpur,waste,medium,unresolved,16,Garbage has not been collected for several days in Mirpur.,0
CM-0043,2026-04-01,Uttara,traffic,medium,resolved,5,Unauthorized roadside parking worsening traffic flow in Uttara.,0
CM-0044,2026-03-13,Gulshan,road,low,unresolved,9,"Road repair work is incomplete in Gulshan, creating traffic bottlenecks.",0
CM-0045,2026-02-24,Mirpur,waste,high,resolved,5,Overflowing community bin in Mirpur is causing foul smell.,0
CM-0046,2026-03-17,Dhanmondi,waste,low,resolved,2,Illegal dumping spotted beside a residential lane in Dhanmondi.,0
CM-0047,2026-02-10,Mirpur,road,high,resolved,6,Street section in Mirpur is flooded after rain due to damaged road drainage.,0
CM-0048,2026-04-07,Farmgate,road,low,resolved,7,Large pothole near the main road in Farmgate causing bike accidents.,0
CM-0049,2026-04-01,Mohammadpur,road,low,unresolved,9,Drain cover is missing on a busy road in Mohammadpur.,0
CM-0050,2026-04-09,Mirpur,road,high,unresolved,13,"Road repair work is incomplete in Mirpur, creating traffic bottlenecks.",0
CM-0051,2026-02-10,Dhanmondi,waste,low,resolved,4,Illegal dumping spotted beside a residential lane in Dhanmondi.,0
CM-0052,2026-04-08,Mirpur,road,high,resolved,7,Drain cover is missing on a busy road in Mirpur.,0
CM-0053,2026-02-14,Mirpur,waste,high,unresolved,13,Garbage has not been collected for several days in Mirpur.,0
CM-0054,2026-04-07,Mohammadpur,road,medium,resolved,2,Street section in Mohammadpur is flooded after rain due to damaged road drainage.,0
CM-0055,2026-03-04,Gulshan,traffic,low,resolved,5,Traffic police presence is low in Gulshan during rush hours.,0
CM-0056,2026-03-09,Uttara,traffic,medium,unresolved,15,Frequent gridlock near bus stop reported in Uttara.,0
CM-0057,2026-03-15,Mirpur,road,high,unresolved,12,Broken pavement and uneven road surface reported in Mirpur.,0
CM-0058,2026-03-19,Dhanmondi,waste,low,unresolved,8,Overflowing community bin in Dhanmondi is causing foul smell.,0
CM-0059,2026-02-18,Mohammadpur,traffic,medium,unresolved,12,Traffic police presence is low in Mohammadpur during rush hours.,0
CM-0060,2026-02-19,Demra,water,low,resolved,6,Residents in Demra report muddy tap water during morning hours.,1
CM-0061,2026-03-06,Demra,road,low,resolved,5,Street section in Demra is flooded after rain due to damaged road drainage.,0
CM-0062,2026-03-05,Mirpur,water,medium,unresolved,16,Low water pressure reported in multiple households in Mirpur.,0
CM-0063,2026-03-17,Mohammadpur,water,low,resolved,5,No municipal water available in part of Mohammadpur since last night.,0
CM-0064,2026-02-13,Mirpur,waste,medium,unresolved,7,Illegal dumping spotted beside a residential lane in Mirpur.,0
CM-0065,2026-03-01,Farmgate,water,low,resolved,4,Intermittent water supply disruption observed in Farmgate.,0
CM-0066,2026-03-12,Farmgate,traffic,low,unresolved,16,Severe traffic congestion at peak hour in Farmgate intersection.,0
CM-0067,2026-02-14,Demra,waste,low,unresolved,17,Waste pile near market area in Demra attracting stray animals.,0
CM-0068,2026-02-16,Gulshan,waste,low,unresolved,10,Garbage has not been collected for several days in Gulshan.,0
CM-0069,2026-03-08,Mirpur,traffic,high,unresolved,12,Severe traffic congestion at peak hour in Mirpur intersection.,0
CM-0070,2026-03-08,Mohammadpur,water,medium,unresolved,15,No municipal water available in part of Mohammadpur since last night.,0
CM-0071,2026-03-16,Demra,traffic,low,resolved,1,Severe traffic congestion at peak hour in Demra intersection.,0
CM-0072,2026-04-03,Farmgate,traffic,low,unresolved,16,Traffic police presence is low in Farmgate during rush hours.,0
CM-0073,2026-03-23,Mirpur,waste,high,unresolved,12,Waste pile near market area in Mirpur attracting stray animals.,0
CM-0074,2026-02-23,Mirpur,traffic,high,resolved,6,Traffic police presence is low in Mirpur during rush hours.,0
CM-0075,2026-04-09,Mirpur,traffic,high,resolved,5,Frequent gridlock near bus stop reported in Mirpur.,0
CM-0076,2026-02-16,Mirpur,road,high,unresolved,17,Large pothole near the main road in Mirpur causing bike accidents.,0
CM-0077,2026-02-15,Mohammadpur,water,medium,unresolved,5,No municipal water available in part of Mohammadpur since last night.,0
CM-0078,2026-03-05,Gulshan,waste,low,resolved,5,Blocked drain in Gulshan due to accumulated plastic waste.,0
CM-0079,2026-02-19,Mohammadpur,water,medium,resolved,5,Low water pressure reported in multiple households in Mohammadpur.,0
CM-0080,2026-04-03,Uttara,traffic,low,resolved,4,Severe traffic congestion at peak hour in Uttara intersection.,0
CM-0081,2026-04-10,Demra,road,medium,resolved,2,"Road repair work is incomplete in Demra, creating traffic bottlenecks.",0
CM-0082,2026-03-05,Mirpur,waste,medium,unresolved,12,Waste pile near market area in Mirpur attracting stray animals.,0
CM-0083,2026-02-23,Mirpur,road,medium,resolved,2,Drain cover is missing on a busy road in Mirpur.,0
CM-0084,2026-02-22,Demra,water,medium,unresolved,13,Residents in Demra report muddy tap water during morning hours.,0
CM-0085,2026-03-26,Farmgate,traffic,low,resolved,5,Unauthorized roadside parking worsening traffic flow in Farmgate.,0
CM-0086,2026-03-11,Uttara,water,low,unresolved,20,Residents in Uttara report muddy tap water during morning hours.,0
CM-0087,2026-02-22,Mirpur,waste,medium,unresolved,14,Garbage has not been collected for several days in Mirpur.,0
CM-0088,2026-03-17,Mirpur,waste,medium,unresolved,9,Illegal dumping spotted beside a residential lane in Mirpur.,0
CM-0089,2026-04-05,Uttara,road,low,resolved,5,Drain cover is missing on a busy road in Uttara.,0
CM-0090,2026-03-03,Demra,waste,low,resolved,2,Illegal dumping spotted beside a residential lane in Demra.,0
CM-0091,2026-02-12,Demra,waste,low,unresolved,13,Garbage has not been collected for several days in Demra.,0
CM-0092,2026-02-14,Uttara,water,medium,resolved,4,No municipal water available in part of Uttara since last night.,0
CM-0093,2026-04-07,Uttara,road,medium,resolved,1,Large pothole near the main road in Uttara causing bike accidents.,0
CM-0094,2026-03-25,Dhanmondi,road,low,unresolved,19,Large pothole near the main road in Dhanmondi causing bike accidents.,0
CM-0095,2026-03-17,Mohammadpur,traffic,medium,unresolved,10,Frequent gridlock near bus stop reported in Mohammadpur.,0
CM-0096,2026-04-03,Dhanmondi,traffic,low,resolved,3,Signal light malfunction causing long queues in Dhanmondi.,0
CM-0097,2026-02-24,Demra,water,low,unresolved,11,Leakage from underground supply line in Demra wasting clean water.,0
CM-0098,2026-03-29,Uttara,road,medium,unresolved,19,Street section in Uttara is flooded after rain due to damaged road drainage.,0
CM-0099,2026-02-21,Farmgate,traffic,low,unresolved,20,Traffic police presence is low in Farmgate during rush hours.,0
CM-0100,2026-03-18,Mirpur,water,high,resolved,7,Low water pressure reported in multiple households in Mirpur.,0
CM-0101,2026-02-13,Mirpur,traffic,high,unresolved,5,Severe traffic congestion at peak hour in Mirpur intersection.,0
CM-0102,2026-03-12,Farmgate,water,low,unresolved,18,No municipal water available in part of Farmgate since last night.,0
CM-0103,2026-03-17,Demra,water,low,resolved,5,Leakage from underground supply line in Demra wasting clean water.,0
CM-0104,2026-03-20,Uttara,waste,low,resolved,4,Waste pile near market area in Uttara attracting stray animals.,0
CM-0105,2026-03-16,Mohammadpur,waste,low,resolved,7,Overflowing community bin in Mohammadpur is causing foul smell.,0
CM-0106,2026-03-21,Uttara,water,low,unresolved,20,No municipal water available in part of Uttara since last night.,0
CM-0107,2026-04-10,Demra,road,low,resolved,3,"Road repair work is incomplete in Demra, creating traffic bottlenecks.",0
CM-0108,2026-02-14,Uttara,waste,low,unresolved,11,Overflowing community bin in Uttara is causing foul smell.,0
CM-0109,2026-02-27,Demra,water,medium,resolved,7,No municipal water available in part of Demra since last night.,0
CM-0110,2026-02-24,Mohammadpur,water,low,resolved,4,No municipal water available in part of Mohammadpur since last night.,0
CM-0111,2026-02-21,Mirpur,water,high,unresolved,12,Intermittent water supply disruption observed in Mirpur.,0
CM-0112,2026-02-11,Mohammadpur,road,low,unresolved,9,Large pothole near the main road in Mohammadpur causing bike accidents.,0
CM-0113,2026-02-17,Gulshan,water,low,unresolved,20,Residents in Gulshan report muddy tap water during morning hours.,0
CM-0114,2026-03-17,Gulshan,road,low,resolved,2,Street section in Gulshan is flooded after rain due to damaged road drainage.,0
CM-0115,2026-04-07,Mohammadpur,road,low,unresolved,10,Street section in Mohammadpur is flooded after rain due to damaged road drainage.,0
CM-0116,2026-03-01,Demra,water,low,resolved,3,No municipal water available in part of Demra since last night.,0
CM-0117,2026-04-04,Mirpur,road,high,resolved,5,Street section in Mirpur is flooded after rain due to damaged road drainage.,0
CM-0118,2026-03-11,Demra,road,low,unresolved,14,"Road repair work is incomplete in Demra, creating traffic bottlenecks.",0
CM-0119,2026-03-10,Mirpur,traffic,high,resolved,3,Frequent gridlock near bus stop reported in Mirpur.,0
CM-0120,2026-03-06,Dhanmondi,waste,low,resolved,5,Garbage has not been collected for several days in Dhanmondi.,0
CM-0121,2026-03-16,Dhanmondi,traffic,low,resolved,6,Frequent gridlock near bus stop reported in Dhanmondi.,0
CM-0122,2026-03-17,Mirpur,waste,medium,resolved,6,Illegal dumping spotted beside a residential lane in Mirpur.,0
CM-0123,2026-03-28,Dhanmondi,traffic,medium,unresolved,12,Severe traffic congestion at peak hour in Dhanmondi intersection.,0
CM-0124,2026-04-06,Mirpur,road,high,resolved,7,Broken pavement and uneven road surface reported in Mirpur.,0
CM-0125,2026-02-12,Uttara,traffic,low,unresolved,17,Signal light malfunction causing long queues in Uttara.,0
CM-0126,2026-02-16,Mirpur,road,medium,resolved,7,"Road repair work is incomplete in Mirpur, creating traffic bottlenecks.",0
CM-0127,2026-04-09,Farmgate,traffic,low,resolved,3,Severe traffic congestion at peak hour in Farmgate intersection.,0
CM-0128,2026-04-01,Mohammadpur,road,medium,resolved,5,"Road repair work is incomplete in Mohammadpur, creating traffic bottlenecks.",0
CM-0129,2026-02-13,Uttara,water,low,unresolved,20,Intermittent water supply disruption observed in Uttara.,0
CM-0130,2026-03-30,Farmgate,road,low,resolved,6,Drain cover is missing on a busy road in Farmgate.,0
CM-0131,2026-02-13,Uttara,road,low,unresolved,20,Large pothole near the main road in Uttara causing bike accidents.,0
CM-0132,2026-03-27,Mirpur,waste,high,resolved,1,Garbage has not been collected for several days in Mirpur.,0
CM-0133,2026-02-23,Mirpur,waste,medium,resolved,1,Blocked drain in Mirpur due to accumulated plastic waste.,0
CM-0134,2026-03-23,Dhanmondi,waste,low,unresolved,11,Blocked drain in Dhanmondi due to accumulated plastic waste.,0
CM-0135,2026-03-25,Mirpur,waste,high,resolved,4,Illegal dumping spotted beside a residential lane in Mirpur.,0
CM-0136,2026-02-23,Mohammadpur,road,low,unresolved,19,Drain cover is missing on a busy road in Mohammadpur.,0
CM-0137,2026-02-25,Demra,road,low,resolved,3,Drain cover is missing on a busy road in Demra.,0
CM-0138,2026-03-14,Demra,road,low,unresolved,5,Street section in Demra is flooded after rain due to damaged road drainage.,0
CM-0139,2026-02-21,Mirpur,road,medium,unresolved,5,Drain cover is missing on a busy road in Mirpur.,0
CM-0140,2026-03-27,Farmgate,water,low,resolved,2,No municipal water available in part of Farmgate since last night.,0
CM-0141,2026-02-16,Demra,road,low,resolved,6,Broken pavement and uneven road surface reported in Demra.,0
CM-0142,2026-02-14,Uttara,water,medium,resolved,6,No municipal water available in part of Uttara since last night.,0
CM-0143,2026-04-04,Dhanmondi,traffic,low,resolved,5,Frequent gridlock near bus stop reported in Dhanmondi.,0
CM-0144,2026-03-22,Mirpur,road,high,unresolved,16,Large pothole near the main road in Mirpur causing bike accidents.,0
CM-0145,2026-03-23,Demra,water,low,unresolved,16,Low water pressure reported in multiple households in Demra.,0
CM-0146,2026-03-06,Mirpur,road,high,resolved,6,Drain cover is missing on a busy road in Mirpur.,0
CM-0147,2026-02-14,Mohammadpur,road,medium,resolved,1,Broken pavement and uneven road surface reported in Mohammadpur.,0
CM-0148,2026-04-03,Mohammadpur,traffic,low,resolved,2,Signal light malfunction causing long queues in Mohammadpur.,0
CM-0149,2026-04-03,Mirpur,waste,medium,resolved,3,Garbage has not been collected for several days in Mirpur.,0
CM-0150,2026-04-09,Farmgate,waste,low,resolved,5,Waste pile near market area in Farmgate attracting stray animals.,0
CM-0151,2026-02-24,Farmgate,waste,low,resolved,5,Overflowing community bin in Farmgate is causing foul smell.,0
CM-0152,2026-02-24,Mohammadpur,waste,low,unresolved,5,Waste pile near market area in Mohammadpur attracting stray animals.,0
CM-0153,2026-02-13,Uttara,waste,low,resolved,1,Garbage has not been collected for several days in Uttara.,0
CM-0154,2026-03-01,Mirpur,traffic,high,unresolved,19,Traffic police presence is low in Mirpur during rush hours.,0
CM-0155,2026-03-21,Mohammadpur,road,medium,resolved,4,"Road repair work is incomplete in Mohammadpur, creating traffic bottlenecks.",0
CM-0156,2026-03-19,Uttara,traffic,medium,resolved,7,Unauthorized roadside parking worsening traffic flow in Uttara.,0
CM-0157,2026-02-28,Mirpur,traffic,high,resolved,7,Severe traffic congestion at peak hour in Mirpur intersection.,0
CM-0158,2026-03-29,Gulshan,road,low,resolved,6,"Road repair work is incomplete in Gulshan, creating traffic bottlenecks.",0
CM-0159,2026-03-04,Mohammadpur,waste,medium,resolved,3,Overflowing community bin in Mohammadpur is causing foul smell.,0
CM-0160,2026-03-17,Farmgate,traffic,low,resolved,3,Signal light malfunction causing long queues in Farmgate.,0
CM-0161,2026-03-22,Dhanmondi,road,low,resolved,2,Large pothole near the main road in Dhanmondi causing bike accidents.,0
CM-0162,2026-02-12,Mirpur,road,high,unresolved,10,Broken pavement and uneven road surface reported in Mirpur.,0
CM-0163,2026-03-13,Mirpur,road,high,resolved,4,Large pothole near the main road in Mirpur causing bike accidents.,0
CM-0164,2026-04-08,Uttara,traffic,low,resolved,7,Severe traffic congestion at peak hour in Uttara intersection.,0
CM-0165,2026-03-23,Mirpur,road,high,resolved,6,Large pothole near the main road in Mirpur causing bike accidents.,0
CM-0166,2026-02-10,Mohammadpur,traffic,medium,unresolved,20,Signal light malfunction causing long queues in Mohammadpur.,0
CM-0167,2026-02-21,Farmgate,road,low,unresolved,18,Drain cover is missing on a busy road in Farmgate.,0
CM-0168,2026-04-01,Mirpur,road,medium,resolved,4,"Road repair work is incomplete in Mirpur, creating traffic bottlenecks.",0
CM-0169,2026-02-19,Mirpur,waste,medium,resolved,3,Garbage has not been collected for several days in Mirpur.,0
CM-0170,2026-03-29,Mohammadpur,road,low,resolved,3,Broken pavement and uneven road surface reported in Mohammadpur.,0
CM-0171,2026-03-02,Mohammadpur,road,low,unresolved,11,Street section in Mohammadpur is flooded after rain due to damaged road drainage.,0
CM-0172,2026-02-27,Mohammadpur,traffic,medium,unresolved,16,Signal light malfunction causing long queues in Mohammadpur.,0
CM-0173,2026-04-08,Mirpur,road,medium,resolved,7,Broken pavement and uneven road surface reported in Mirpur.,0
CM-0174,2026-03-10,Uttara,water,low,resolved,3,Low water pressure reported in multiple households in Uttara.,0
CM-0175,2026-04-05,Mirpur,traffic,high,resolved,4,Signal light malfunction causing long queues in Mirpur.,0
CM-0176,2026-03-08,Mirpur,road,high,unresolved,7,Street section in Mirpur is flooded after rain due to damaged road drainage.,0
CM-0177,2026-04-06,Dhanmondi,water,low,resolved,4,Leakage from underground supply line in Dhanmondi wasting clean water.,0
CM-0178,2026-03-30,Mohammadpur,water,low,resolved,6,Low water pressure reported in multiple households in Mohammadpur.,0
CM-0179,2026-03-08,Mohammadpur,waste,low,unresolved,5,Waste pile near market area in Mohammadpur attracting stray animals.,0
CM-0180,2026-03-04,Gulshan,traffic,low,unresolved,13,Unauthorized roadside parking worsening traffic flow in Gulshan.,0
CM-0181,2026-03-08,Demra,road,low,unresolved,20,Broken pavement and uneven road surface reported in Demra.,0
CM-0182,2026-03-14,Mirpur,road,high,resolved,2,Street section in Mirpur is flooded after rain due to damaged road drainage.,0
CM-0183,2026-02-26,Dhanmondi,traffic,low,resolved,4,Severe traffic congestion at peak hour in Dhanmondi intersection.,0
CM-0184,2026-03-13,Mohammadpur,waste,medium,unresolved,20,Blocked drain in Mohammadpur due to accumulated plastic waste.,0
CM-0185,2026-03-24,Mirpur,waste,high,resolved,7,Illegal dumping spotted beside a residential lane in Mirpur.,0
CM-0186,2026-03-10,Demra,waste,medium,resolved,6,Waste pile near market area in Demra attracting stray animals.,0
CM-0187,2026-04-02,Uttara,water,low,resolved,6,Residents in Uttara report muddy tap water during morning hours.,0
CM-0188,2026-03-16,Demra,waste,low,unresolved,9,Garbage has not been collected for several days in Demra.,0
CM-0189,2026-04-03,Mirpur,water,high,resolved,5,No municipal water available in part of Mirpur since last night.,0
CM-0190,2026-03-22,Mirpur,water,medium,resolved,7,Leakage from underground supply line in Mirpur wasting clean water.,0
CM-0191,2026-02-24,Mirpur,road,high,unresolved,7,Street section in Mirpur is flooded after rain due to damaged road drainage.,0
CM-0192,2026-02-15,Mirpur,waste,medium,unresolved,14,Waste pile near market area in Mirpur attracting stray animals.,0
CM-0193,2026-04-07,Mirpur,waste,medium,resolved,3,Illegal dumping spotted beside a residential lane in Mirpur.,0
CM-0194,2026-02-28,Mirpur,waste,high,resolved,3,Illegal dumping spotted beside a residential lane in Mirpur.,0
CM-0195,2026-03-22,Mohammadpur,traffic,medium,resolved,3,Unauthorized roadside parking worsening traffic flow in Mohammadpur.,0
CM-0196,2026-03-04,Dhanmondi,waste,low,resolved,3,Blocked drain in Dhanmondi due to accumulated plastic waste.,0
CM-0197,2026-02-10,Mohammadpur,water,medium,unresolved,17,Leakage from underground supply line in Mohammadpur wasting clean water.,0
CM-0198,2026-03-14,Mirpur,waste,medium,unresolved,12,Illegal dumping spotted beside a residential lane in Mirpur.,0
CM-0199,2026-03-02,Uttara,road,low,resolved,6,Broken pavement and uneven road surface reported in Uttara.,0
CM-0200,2026-04-10,Dhanmondi,traffic,low,resolved,5,Frequent gridlock near bus stop reported in Dhanmondi.,0
CM-0201,2026-03-14,Mirpur,waste,medium,unresolved,20,Garbage has not been collected for several days in Mirpur.,0
CM-0202,2026-03-16,Demra,traffic,medium,resolved,7,Severe traffic congestion at peak hour in Demra intersection.,0
CM-0203,2026-03-13,Gulshan,waste,low,resolved,7,Waste pile near market area in Gulshan attracting stray animals.,0
CM-0204,2026-02-20,Mirpur,waste,medium,unresolved,9,Waste pile near market area in Mirpur attracting stray animals.,0
CM-0205,2026-04-09,Demra,traffic,medium,resolved,7,Frequent gridlock near bus stop reported in Demra.,0
CM-0206,2026-02-26,Mohammadpur,road,medium,unresolved,8,Large pothole near the main road in Mohammadpur causing bike accidents.,0
CM-0207,2026-03-22,Demra,waste,low,resolved,6,Blocked drain in Demra due to accumulated plastic waste.,0
CM-0208,2026-03-17,Dhanmondi,traffic,low,resolved,2,Traffic police presence is low in Dhanmondi during rush hours.,0
CM-0209,2026-02-15,Mirpur,traffic,high,unresolved,6,Signal light malfunction causing long queues in Mirpur.,0
CM-0210,2026-04-06,Mirpur,road,medium,resolved,1,Large pothole near the main road in Mirpur causing bike accidents.,0
CM-0211,2026-03-21,Demra,water,low,unresolved,7,Residents in Demra report muddy tap water during morning hours.,0
CM-0212,2026-02-20,Uttara,traffic,medium,unresolved,13,Frequent gridlock near bus stop reported in Uttara.,0
CM-0213,2026-03-29,Mirpur,water,high,resolved,4,Residents in Mirpur report muddy tap water during morning hours.,0
CM-0214,2026-03-19,Mirpur,road,high,resolved,6,Large pothole near the main road in Mirpur causing bike accidents.,0
CM-0215,2026-04-08,Mirpur,road,high,resolved,6,Street section in Mirpur is flooded after rain due to damaged road drainage.,0
CM-0216,2026-04-02,Demra,waste,low,resolved,7,Blocked drain in Demra due to accumulated plastic waste.,0
CM-0217,2026-03-04,Mohammadpur,road,medium,resolved,2,Broken pavement and uneven road surface reported in Mohammadpur.,0
CM-0218,2026-02-25,Farmgate,water,low,resolved,4,Low water pressure reported in multiple households in Farmgate.,0
CM-0219,2026-03-19,Mirpur,waste,medium,unresolved,12,Overflowing community bin in Mirpur is causing foul smell.,0
CM-0220,2026-02-24,Mohammadpur,waste,medium,unresolved,7,Illegal dumping spotted beside a residential lane in Mohammadpur.,0
CM-0221,2026-03-03,Dhanmondi,water,low,unresolved,15,Low water pressure reported in multiple households in Dhanmondi.,0
CM-0222,2026-03-29,Mohammadpur,waste,low,unresolved,6,Illegal dumping spotted beside a residential lane in Mohammadpur.,0
CM-0223,2026-03-13,Uttara,traffic,medium,unresolved,5,Unauthorized roadside parking worsening traffic flow in Uttara.,0
CM-0224,2026-03-30,Demra,road,low,unresolved,6,Drain cover is missing on a busy road in Demra.,0
CM-0225,2026-03-02,Mirpur,road,medium,unresolved,18,Broken pavement and uneven road surface reported in Mirpur.,0
CM-0226,2026-04-07,Dhanmondi,waste,low,resolved,6,Blocked drain in Dhanmondi due to accumulated plastic waste.,0
CM-0227,2026-02-24,Mohammadpur,road,low,unresolved,6,Drain cover is missing on a busy road in Mohammadpur.,0
CM-0228,2026-04-03,Mohammadpur,water,medium,resolved,2,No municipal water available in part of Mohammadpur since last night.,0
CM-0229,2026-04-07,Mirpur,waste,high,resolved,3,Blocked drain in Mirpur due to accumulated plastic waste.,0
CM-0230,2026-02-21,Mirpur,traffic,high,unresolved,17,Signal light malfunction causing long queues in Mirpur.,0
CM-0231,2026-03-02,Farmgate,road,low,unresolved,10,"Road repair work is incomplete in Farmgate, creating traffic bottlenecks.",0
CM-0232,2026-02-18,Farmgate,waste,low,unresolved,17,Waste pile near market area in Farmgate attracting stray animals.,0
CM-0233,2026-02-26,Mohammadpur,traffic,medium,unresolved,11,Traffic police presence is low in Mohammadpur during rush hours.,0
CM-0234,2026-03-07,Uttara,water,low,resolved,7,Residents in Uttara report muddy tap water during morning hours.,0
CM-0235,2026-03-23,Dhanmondi,road,low,resolved,2,Street section in Dhanmondi is flooded after rain due to damaged road drainage.,0
CM-0236,2026-03-29,Farmgate,traffic,low,unresolved,20,Traffic police presence is low in Farmgate during rush hours.,0
CM-0237,2026-02-10,Farmgate,traffic,low,resolved,1,Severe traffic congestion at peak hour in Farmgate intersection.,0
CM-0238,2026-02-14,Farmgate,road,low,unresolved,19,Drain cover is missing on a busy road in Farmgate.,0
CM-0239,2026-04-01,Mirpur,water,high,resolved,6,Intermittent water supply disruption observed in Mirpur.,0
CM-0240,2026-04-10,Gulshan,waste,low,resolved,6,Illegal dumping spotted beside a residential lane in Gulshan.,0
CM-0241,2026-03-15,Mirpur,road,high,resolved,6,Broken pavement and uneven road surface reported in Mirpur.,0
CM-0242,2026-02-12,Mohammadpur,traffic,low,unresolved,20,Traffic police presence is low in Mohammadpur during rush hours.,0
CM-0243,2026-03-18,Dhanmondi,road,low,resolved,6,"Road repair work is incomplete in Dhanmondi, creating traffic bottlenecks.",0
CM-0244,2026-02-11,Farmgate,water,low,unresolved,7,Low water pressure reported in multiple households in Farmgate.,0
CM-0245,2026-04-06,Gulshan,traffic,medium,resolved,2,Severe traffic congestion at peak hour in Gulshan intersection.,0
CM-0246,2026-04-09,Uttara,water,low,resolved,5,Leakage from underground supply line in Uttara wasting clean water.,0
CM-0247,2026-04-02,Dhanmondi,water,low,resolved,1,No municipal water available in part of Dhanmondi since last night.,0
